Governor / Lt. Governor                                             |-  |Allegany County                                   |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           7831|\N
House of Delegates                                                  |27A|Calvert County                                    |Larsen                                                      |D.              |Albert                                                      |Republican                                        |              0|(Vote for No More Than Two)                       |                                           2376|\N
House of Delegates                                                  |27A|Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Two)                       |                                              3|\N
House of Delegates                                                  |27A|Prince George's County                            |Proctor                                                     |E.              |James                                                       |Democratic                                        |              1|(Vote for No More Than Two)                       |                                          15428|\N
House of Delegates                                                  |27A|Prince George's County                            |Vallario                                                    |F.              |Joseph                                                      |Democratic                                        |              1|(Vote for No More Than Two)                       |                                          14447|\N
House of Delegates                                                  |27A|Prince George's County                            |Brown                                                       |S.              |Kenneth                                                     |Republican                                        |              0|(Vote for No More Than Two)                       |                                           3549|\N
House of Delegates                                                  |27A|Prince George's County                            |Larsen                                                      |D.              |Albert                                                      |Republican                                        |              0|(Vote for No More Than Two)                       |                                           3426|\N
House of Delegates                                                  |27A|Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Two)                       |                                             33|\N
House of Delegates                                                  |27B|Calvert County                                    |Owings                                                      |W.              |George                                                      |Democratic                                        |              1|(Vote for One)                                    |                                           9753|\N
House of Delegates                                                  |27B|Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            191|\N
House of Delegates                                                  |28 |Charles County                                    |Jameson                                                     |\N              |Sally                                                       |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          18476|\N
House of Delegates                                                  |28 |Charles County                                    |Jarboe                                                      |\N              |Jim                                                         |Democratic                                        |              0|(Vote for No More Than Three)                     |                                          16577|\N
House of Delegates                                                  |28 |Charles County                                    |Mitchell                                                    |T.              |Van                                                         |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          18238|\N
House of Delegates                                                  |28 |Charles County                                    |Boudreaux                                                   |\N              |Robert                                                      |Republican                                        |              0|(Vote for No More Than Three)                     |                                           9289|\N
House of Delegates                                                  |28 |Charles County                                    |Crawford                                                    |\N              |James                                                       |Republican                                        |              0|(Vote for No More Than Three)                     |                                          12109|\N
House of Delegates                                                  |28 |Charles County                                    |Hutchins                                                    |E. "Tim"        |Thomas                                                      |Republican                                        |              1|(Vote for No More Than Three)                     |                                          19037|\N
House of Delegates                                                  |28 |Charles County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                             48|\N
House of Delegates                                                  |29A|Charles County                                    |Wood                                                        |F.              |John                                                        |Democratic                                        |              1|(Vote for One)                                    |                                            574|\N
House of Delegates                                                  |29A|Charles County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             25|\N
House of Delegates                                                  |29A|St. Mary's County                                 |Wood                                                        |F.              |John                                                        |Democratic                                        |              1|(Vote for One)                                    |                                           9242|\N
House of Delegates                                                  |29A|St. Mary's County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            177|\N
House of Delegates                                                  |29B|St. Mary's County                                 |Bohanan                                                     |L.              |John                                                        |Democratic                                        |              1|(Vote for One)                                    |                                           6340|\N
House of Delegates                                                  |29B|St. Mary's County                                 |Dick                                                        |L.              |Joseph                                                      |Republican                                        |              0|(Vote for One)                                    |                                           4434|\N
House of Delegates                                                  |29B|St. Mary's County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              2|\N
House of Delegates                                                  |29C|Calvert County                                    |Buehler                                                     |\N              |Pat                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           4477|\N
House of Delegates                                                  |29C|Calvert County                                    |O'Donnell                                                   |J.              |Anthony                                                     |Republican                                        |              1|(Vote for One)                                    |                                           4449|\N
House of Delegates                                                  |29C|Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              1|\N
House of Delegates                                                  |29C|St. Mary's County                                 |Buehler                                                     |\N              |Pat                                                         |Democratic                                        |              0|(Vote for One)                                    |                                           1109|\N
House of Delegates                                                  |29C|St. Mary's County                                 |O'Donnell                                                   |J.              |Anthony                                                     |Republican                                        |              1|(Vote for One)                                    |                                           1578|\N
House of Delegates                                                  |29C|St. Mary's County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              5|\N
House of Delegates                                                  |30 |Anne Arundel County                               |Busch                                                       |E.              |Michael                                                     |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          22422|\N
House of Delegates                                                  |30 |Anne Arundel County                               |Clagett                                                     |P.              |Virginia                                                    |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          21875|\N
House of Delegates                                                  |30 |Anne Arundel County                               |D'Amato                                                     |\N              |Dick                                                        |Democratic                                        |              0|(Vote for No More Than Three)                     |                                          20545|\N
House of Delegates                                                  |30 |Anne Arundel County                               |Almgren                                                     |\N              |Nancy                                                       |Republican                                        |              0|(Vote for No More Than Three)                     |                                          18861|\N
House of Delegates                                                  |30 |Anne Arundel County                               |Collins                                                     |\N              |Michael                                                     |Republican                                        |              0|(Vote for No More Than Three)                     |                                          19140|\N
House of Delegates                                                  |30 |Anne Arundel County                               |McMillan                                                    |\N              |Herb                                                        |Republican                                        |              1|(Vote for No More Than Three)                     |                                          20972|\N
House of Delegates                                                  |30 |Anne Arundel County                               |Gross                                                       |M.              |David                                                       |Green                                             |              0|(Vote for No More Than Three)                     |                                           2536|\N
House of Delegates                                                  |30 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                             71|\N
House of Delegates                                                  |31 |Anne Arundel County                               |Cadden                                                      |\N              |Joan                                                        |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          16906|\N
House of Delegates                                                  |31 |Anne Arundel County                               |Fleckenstein                                                |J.              |Thomas                                                      |Democratic                                        |              0|(Vote for No More Than Three)                     |                                          13404|\N
House of Delegates                                                  |31 |Anne Arundel County                               |Rosso                                                       |\N              |Mary                                                        |Democratic                                        |              0|(Vote for No More Than Three)                     |                                          15127|\N
House of Delegates                                                  |31 |Anne Arundel County                               |Dwyer                                                       |\N              |Don                                                         |Republican                                        |              1|(Vote for No More Than Three)                     |                                          16807|\N
House of Delegates                                                  |31 |Anne Arundel County                               |Gardner                                                     |R.              |Thomas                                                      |Republican                                        |              0|(Vote for No More Than Three)                     |                                          15321|\N
House of Delegates                                                  |31 |Anne Arundel County                               |Leopold                                                     |R.              |John                                                        |Republican                                        |              1|(Vote for No More Than Three)                     |                                          24937|\N
House of Delegates                                                  |31 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                             73|\N
House of Delegates                                                  |32 |Anne Arundel County                               |Love                                                        |Ann             |Mary                                                        |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          16646|\N
House of Delegates                                                  |32 |Anne Arundel County                               |Sophocleus                                                  |\N              |Theodore                                                    |Democratic                                        |              1|(Vote for No More Than Three)                     |                                          16842|\N
House of Delegates                                                  |32 |Anne Arundel County                               |Sulin                                                       |A.              |Victor                                                      |Democratic                                        |              0|(Vote for No More Than Three)                     |                                          13694|\N
House of Delegates                                                  |32 |Anne Arundel County                               |Pepersack                                                   |G.              |Robert                                                      |Republican                                        |              0|(Vote for No More Than Three)                     |                                          14628|\N
House of Delegates                                                  |32 |Anne Arundel County                               |Rzepkowski                                                  |E.              |James                                                       |Republican                                        |              1|(Vote for No More Than Three)                     |                                          18299|\N
House of Delegates                                                  |32 |Anne Arundel County                               |Starr                                                       |P.              |David                                                       |Republican                                        |              0|(Vote for No More Than Three)                     |                                          12020|\N
House of Delegates                                                  |32 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                             82|\N
House of Delegates                                                  |33A|Anne Arundel County                               |Rizzi                                                       |\N              |Steve                                                       |Democratic                                        |              0|(Vote for No More Than Two)                       |                                          10939|\N
House of Delegates                                                  |33A|Anne Arundel County                               |Snider                                                      |\N              |Jim                                                         |Democratic                                        |              0|(Vote for No More Than Two)                       |                                          11427|\N
House of Delegates                                                  |33A|Anne Arundel County                               |Boschert                                                    |\N              |David                                                       |Republican                                        |              1|(Vote for No More Than Two)                       |                                          20279|\N
House of Delegates                                                  |33A|Anne Arundel County                               |McConkey                                                    |\N              |Tony                                                        |Republican                                        |              1|(Vote for No More Than Two)                       |                                          16157|\N
House of Delegates                                                  |33A|Anne Arundel County                               |Lagana                                                      |Anthony         |Michael                                                     |Unaffiliated                                      |              0|(Vote for No More Than Two)                       |                                           2622|\N
House of Delegates                                                  |33A|Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Two)                       |                                             31|\N
House of Delegates                                                  |33B|Anne Arundel County                               |Chaney                                                      |\N              |Dotty                                                       |Democratic                                        |              0|(Vote for One)                                    |                                           7885|\N
House of Delegates                                                  |33B|Anne Arundel County                               |Costa                                                       |A.              |Bob                                                         |Republican                                        |              1|(Vote for One)                                    |                                           9553|\N
House of Delegates                                                  |33B|Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              7|\N
House of Delegates                                                  |34A|Cecil County                                      |James                                                       |\N              |Mary-Dulany                                                 |Democratic                                        |              1|(Vote for No More Than Two)                       |                                            185|\N
House of Delegates                                                  |34A|Cecil County                                      |Riley                                                       |Daniel          |B.                                                          |Democratic                                        |              0|(Vote for No More Than Two)                       |                                            151|\N
House of Delegates                                                  |34A|Cecil County                                      |Boutin                                                      |R.              |Charles                                                     |Republican                                        |              1|(Vote for No More Than Two)                       |                                            190|\N
House of Delegates                                                  |34A|Cecil County                                      |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Two)                       |                                              0|\N
House of Delegates                                                  |34A|Harford County                                    |James                                                       |\N              |Mary-Dulany                                                 |Democratic                                        |              1|(Vote for No More Than Two)                       |                                          10762|\N
House of Delegates                                                  |34A|Harford County                                    |Riley                                                       |Daniel          |B.                                                          |Democratic                                        |              0|(Vote for No More Than Two)                       |                                           9806|\N
House of Delegates                                                  |34A|Harford County                                    |Boutin                                                      |R.              |Charles                                                     |Republican                                        |              1|(Vote for No More Than Two)                       |                                          10992|\N
House of Delegates                                                  |34A|Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Two)                       |                                             59|\N
House of Delegates                                                  |34B|Cecil County                                      |Rudolph                                                     |D.              |David                                                       |Democratic                                        |              1|(Vote for One)                                    |                                           6762|\N
House of Delegates                                                  |34B|Cecil County                                      |Herold                                                      |W.              |William                                                     |Republican                                        |              0|(Vote for One)                                    |                                           5239|\N
House of Delegates                                                  |34B|Cecil County                                      |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              6|\N
House of Delegates                                                  |35A|Harford County                                    |Glassman                                                    |\N              |Barry                                                       |Republican                                        |              1|(Vote for No More Than Two)                       |                                          22463|\N
House of Delegates                                                  |35A|Harford County                                    |Parrott                                                     |S.              |Joanne                                                      |Republican                                        |              1|(Vote for No More Than Two)                       |                                          22801|\N
House of Delegates                                                  |35A|Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Two)                       |                                            387|\N
House of Delegates                                                  |35B|Harford County                                    |Carey                                                       |E.              |David                                                       |Democratic                                        |              0|(Vote for One)                                    |                                           6444|\N
House of Delegates                                                  |35B|Harford County                                    |McComas                                                     |K.              |Susan                                                       |Republican                                        |              1|(Vote for One)                                    |                                          10273|\N
House of Delegates                                                  |35B|Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             12|\N
House of Delegates                                                  |36 |Caroline County                                   |Baker                                                       |R.              |Wheeler                                                     |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           1390|\N
House of Delegates                                                  |36 |Caroline County                                   |Crouse                                                      |G.              |James                                                       |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           1399|\N
House of Delegates                                                  |36 |Caroline County                                   |Smigiel                                                     |D.              |Michael                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           1639|\N
House of Delegates                                                  |36 |Caroline County                                   |Sossi                                                       |\N              |Richard                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           1711|\N
House of Delegates                                                  |36 |Caroline County                                   |Walkup                                                      |Roe             |Mary                                                        |Republican                                        |              1|(Vote for No More Than Three)                     |                                           2381|\N
House of Delegates                                                  |36 |Caroline County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                             25|\N
House of Delegates                                                  |36 |Cecil County                                      |Baker                                                       |R.              |Wheeler                                                     |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           4777|\N
House of Delegates                                                  |36 |Cecil County                                      |Crouse                                                      |G.              |James                                                       |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           5729|\N
House of Delegates                                                  |36 |Cecil County                                      |Smigiel                                                     |D.              |Michael                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           6254|\N
House of Delegates                                                  |36 |Cecil County                                      |Sossi                                                       |\N              |Richard                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           6068|\N
House of Delegates                                                  |36 |Cecil County                                      |Walkup                                                      |Roe             |Mary                                                        |Republican                                        |              1|(Vote for No More Than Three)                     |                                           8205|\N
House of Delegates                                                  |36 |Cecil County                                      |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                            119|\N
House of Delegates                                                  |36 |Kent County                                       |Baker                                                       |R.              |Wheeler                                                     |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           3373|\N
House of Delegates                                                  |36 |Kent County                                       |Crouse                                                      |G.              |James                                                       |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           3346|\N
House of Delegates                                                  |36 |Kent County                                       |Smigiel                                                     |D.              |Michael                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           3124|\N
House of Delegates                                                  |36 |Kent County                                       |Sossi                                                       |\N              |Richard                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           3125|\N
House of Delegates                                                  |36 |Kent County                                       |Walkup                                                      |Roe             |Mary                                                        |Republican                                        |              1|(Vote for No More Than Three)                     |                                           6088|\N
House of Delegates                                                  |36 |Kent County                                       |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                              0|\N
House of Delegates                                                  |36 |Queen Anne's County                               |Baker                                                       |R.              |Wheeler                                                     |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           8035|\N
House of Delegates                                                  |36 |Queen Anne's County                               |Crouse                                                      |G.              |James                                                       |Democratic                                        |              0|(Vote for No More Than Three)                     |                                           5855|\N
House of Delegates                                                  |36 |Queen Anne's County                               |Smigiel                                                     |D.              |Michael                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           8199|\N
House of Delegates                                                  |36 |Queen Anne's County                               |Sossi                                                       |\N              |Richard                                                     |Republican                                        |              1|(Vote for No More Than Three)                     |                                           8194|\N
House of Delegates                                                  |36 |Queen Anne's County                               |Walkup                                                      |Roe             |Mary                                                        |Republican                                        |              1|(Vote for No More Than Three)                     |                                          11556|\N
House of Delegates                                                  |36 |Queen Anne's County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for No More Than Three)                     |                                            133|\N
House of Delegates                                                  |37A|Dorchester County                                 |Cane                                                        |C.              |Rudolph                                                     |Democratic                                        |              1|(Vote for One)                                    |                                           1321|\N
House of Delegates                                                  |37A|Dorchester County                                 |Scott                                                       |\N              |Doug                                                        |Republican                                        |              0|(Vote for One)                                    |                                            728|\N
House of Delegates                                                  |37A|Dorchester County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |\N             |(Vote for One)                                    |                                              0|\N
House of Delegates                                                  |37A|Wicomico County                                   |Cane                                                        |C.              |Rudolph                                                     |Democratic                                        |              1|(Vote for One)                                    |                                           3453|\N
